Time,Time Code,Country Name,Country Code,"GDP per capita, PPP (constant 2011 international $) [NY.GDP.PCAP.PP.KD]","Literacy rate, adult total (% of people ages 15 and above) [SE.ADT.LITR.ZS]",Total natural resources rents (% of GDP) [NY.GDP.TOTL.RT.ZS],"Population, total [SP.POP.TOTL]",Urban population (% of total) [SP.URB.TOTL.IN.ZS],"Life expectancy at birth, total (years) [SP.DYN.LE00.IN]",Lifetime risk of maternal death (%) [SH.MMR.RISK.ZS],"Mortality rate, under-5 (per 1,000 live births) [SH.DYN.MORT]"
2010,YR2010,Nauru,NRU,6592.43683574598,..,..,10025,100,..,..,39.4
2010,YR2010,Nepal,NPL,1985.98034060169,..,1.47069217400499,27023137,16.822,67.9101707317073,1.04208503137061,47
2010,YR2010,Netherlands,NLD,45524.6621425733,..,0.479104160659833,16615394,87.061,80.7024390243902,0.0124042162359281,4.5
2010,YR2010,New Caledonia,NCL,..,..,..,250000,67.273,77.4731707317073,..,..
2010,YR2010,New Zealand,NZL,32252.9188480016,..,2.01301500469197,4350700,86.165,80.7024390243902,0.025735751655278,6.2
2010,YR2010,Nicaragua,NIC,4028.71208738128,..,3.94358331287412,5737723,57.255,73.5923414634146,0.460656331130529,24.6
2010,YR2010,Niger,NER,813.977388000367,..,10.0627523005313,16425578,17.559,56.8454146341463,5.20117418087686,123.3
2010,YR2010,Nigeria,NGA,5150.15881822763,..,13.7946276203046,158578261,43.48,50.8372682926829,4.94207765986988,129.6
2010,YR2010,Northern Mariana Islands,MNP,..,..,0,54424,89.474,..,..,..
2010,YR2010,Norway,NOR,62350.4107068751,..,7.68670810151464,4889252,79.102,80.9975609756098,0.0103750733170321,3.2
2010,YR2010,Oman,OMN,45334.8294308969,86.939,37.1975695592929,3041460,75.161,75.9700731707317,0.062447993047174,11.7
2010,YR2010,Pakistan,PAK,4283.60731163635,55.37519,2.15982681334308,170560182,36.598,65.1500487804878,0.864325092412845,92.1
2010,YR2010,Palau,PLW,12411.9647719852,..,0,20470,83.358,..,..,19.3
2010,YR2010,Panama,PAN,15419.341616565,94.09412,0.257356101135916,3643222,65.115,76.8551951219512,0.271614006176065,19.7
2010,YR2010,Papua New Guinea,PNG,3191.57914928813,..,43.5244909276789,7108239,13.019,64.640243902439,0.975312391222675,65.2
2010,YR2010,Paraguay,PRY,7289.51391005233,93.87092,2.63899154726928,6209877,58.487,72.298243902439,0.421975814372818,24.1
2010,YR2010,Peru,PER,9956.55663668307,..,11.1018860775945,29373646,76.915,73.6513658536585,0.245721906281757,20.3
2010,YR2010,Philippines,PHL,5596.8372879546,..,2.90210242848751,93726624,45.255,68.3582682926829,0.422316792969563,31.9
2010,YR2010,Poland,POL,21770.6444359772,..,1.58636734693208,38042794,60.892,76.2463414634146,0.00535810114388046,6
2010,YR2010,Portugal,PRT,27238.4606724422,..,0.259236249272664,10573100,60.567,79.0268292682927,0.0146433578852986,3.9
2010,YR2010,Puerto Rico,PRI,34453.7684264135,91.96523,0,3721525,93.825,78.4081707317073,0.0273502467138672,..
2010,YR2010,Qatar,QAT,125140.838348001,96.28374,17.8928637022579,1779676,98.655,77.6404878048781,0.0419527886229003,9
2010,YR2010,Romania,ROU,17817.9695126628,..,1.485966475227,20246871,53.829,73.4585365853659,0.0438939596111201,11.5
2010,YR2010,Russian Federation,RUS,23107.7852212822,99.68427,13.9012640776876,142849449,73.687,68.8412195121951,0.0455146765735215,10
2010,YR2010,Rwanda,RWA,1353.15407202718,65.85227,6.70165034478188,10246842,23.952,63.0655609756098,1.72604254844893,63.6
2010,YR2010,Samoa,WSM,5399.89309631838,..,0.425260194040711,186205,20.078,73.2300243902439,0.270141023141134,18.9
2010,YR2010,San Marino,SMR,73862.3374374501,..,..,31110,94.086,83.1593791574279,..,3.4
2010,YR2010,Sao Tome and Principe,STP,2641.51394857495,..,3.01216130009387,174776,61.907,65.8086097560976,0.819613605279002,45.4
2010,YR2010,Saudi Arabia,SAU,45421.2284797446,..,42.254709564031,27425676,82.084,73.7001463414634,0.0426532982111869,15.7
2010,YR2010,Senegal,SEN,2183.99505141766,..,4.16200653838546,12916229,42.23,64.0836341463415,2.01716466561538,66.8
2010,YR2010,Serbia,SRB,12688.0349691633,..,2.28231842611919,7291436,55.208,74.3365853658537,0.0239058369891909,7.6
2010,YR2010,Seychelles,SYC,20365.1189331513,93.95423,0.147076426024177,89770,52.319,73.1975609756098,..,14.4
2010,YR2010,Sierra Leone,SLE,1217.21923498169,..,10.3114337656825,6458720,38.241,48.212,7.98155790916999,159.7
2010,YR2010,Singapore,SGP,72105.4139202794,95.85733,0.00045970964203152,5076732,100,81.5414634146342,0.0140646216274598,2.8
2010,YR2010,Sint Maarten (Dutch part),SXM,..,..,..,35474,100,..,..,..
2010,YR2010,Slovak Republic,SVK,25159.0775487579,..,0.331711644728117,5391428,54.685,75.1121951219512,0.00799345009224338,7
2010,YR2010,Slovenia,SVN,28678.3726303687,..,0.276108866727978,2048583,50.04,79.4219512195122,0.0139111287228482,3.2
